,u_windows,g_value,wwr,fixedShadingDepth,heatingSum,heatingMax,lightingSum,temperature>28C
133,0.5,0.8,0.5,0.01,419658018.4531542,2535.74690273748,512919732.04580766,3051
134,0.5,0.8,0.5,0.25,435448572.6857438,2535.381550231458,512924093.98834676,3018
135,0.5,0.8,0.5,0.5,446752764.0675782,2670.8421476633976,512910482.0558461,2914
136,0.5,0.8,0.5,0.75,484034495.43036175,2925.417137054957,512859102.8831438,2775
137,0.5,0.8,0.5,1.0,474350154.56888384,3344.463474906681,512890287.8653835,2604
138,0.5,0.8,0.5,1.25,523802646.53430414,2502.5707898804308,512922348.1549891,2430
139,0.5,0.8,0.5,1.5,580507326.3876692,2748.075565616493,512920922.66633606,2300
140,0.5,0.8,0.6,0.01,550501057.6682346,3007.8750158587177,512604497.808794,3447
141,0.5,0.8,0.6,0.25,546993473.3494828,2630.192706029966,512606029.2731806,3424
142,0.5,0.8,0.6,0.5,598166780.3727233,2652.5218049344003,512552476.06063443,3352
143,0.5,0.8,0.6,0.75,580505380.4338171,3163.042005693442,512609989.351278,3213
144,0.5,0.8,0.6,1.0,601234571.8859895,3176.74560470828,512572949.13217676,3071
145,0.5,0.8,0.6,1.25,618333685.1978883,3851.746603333018,512578336.559523,2883
146,0.5,0.8,0.6,1.5,663514313.2471267,4130.838014785263,512613933.2071582,2710
147,0.75,0.2,0.4,0.01,1595427486.1278512,2080.614988190431,512837975.47533494,1120
148,0.75,0.2,0.4,0.25,1609372394.7347803,2079.8539071099767,512839201.5988129,1103
149,0.75,0.2,0.4,0.5,1624225997.2637663,2078.2759145862365,512822733.19108856,1075
150,0.75,0.2,0.4,0.75,1658961920.7681043,2076.557495237605,512802926.61827934,1047
151,0.75,0.2,0.4,1.0,1706239895.3256187,2074.8638754744807,512837104.7147538,1013
152,0.75,0.2,0.4,1.25,1778297165.3008192,2073.598336926585,512844456.9299617,987
153,0.75,0.2,0.4,1.5,1865683644.708189,2072.8800962441187,512898219.34213275,948
154,0.75,0.2,0.5,0.01,1467159201.3332212,3610.753138318676,512361959.38006103,1166
155,0.75,0.2,0.5,0.25,1480747967.0808527,3204.240487362355,512328643.5901246,1148
156,0.75,0.2,0.5,0.5,1467224500.1059637,2200.1518251578705,512331572.2026264,1137
157,0.75,0.2,0.5,0.75,1474222988.789025,2104.810042914082,512319567.63693887,1104
158,0.75,0.2,0.5,1.0,1510937364.3994837,2103.325512374878,512364771.41425735,1068
159,0.75,0.2,0.5,1.25,1575880896.0968285,2102.8742985011054,512383058.3386526,1039
160,0.75,0.2,0.5,1.5,1649698302.3557422,2103.1786992734565,512374847.16981804,1005
161,0.75,0.2,0.6,0.01,1441289955.2846146,4642.369352581591,512019371.4891944,1229
162,0.75,0.2,0.6,0.25,1426392207.0127392,4664.06713527379,512019810.6048068,1218
163,0.75,0.2,0.6,0.5,1430556720.7597897,2668.371887481941,511990334.92509353,1188
164,0.75,0.2,0.6,0.75,1431146630.510669,2125.9640429199103,512003305.35125,1158
165,0.75,0.2,0.6,1.0,1440319947.831946,2124.348730094988,511982580.48182297,1118
166,0.75,0.2,0.6,1.25,1471474517.8282523,2122.50717406247,512009189.92618877,1090
167,0.75,0.2,0.6,1.5,1497242468.567989,2120.732093542389,512037549.2059929,1059
168,0.75,0.3,0.4,0.01,994034427.9384894,2219.9179876838093,512971245.26332235,1348
169,0.75,0.3,0.4,0.25,990400115.2575167,2323.9280530183223,512972476.60474205,1332
170,0.75,0.3,0.4,0.5,993421360.1065466,2476.109036406829,512977110.8207865,1302
171,0.75,0.3,0.4,0.75,1006296621.3502448,1981.2206109981207,512993769.76987046,1256
172,0.75,0.3,0.4,1.0,1023927453.19728,1981.877989271951,513028204.24924296,1213
173,0.75,0.3,0.4,1.25,1067151273.6512232,1984.6926918440013,513070635.72489774,1167
174,0.75,0.3,0.4,1.5,1120630668.6485686,1988.309877298632,513125195.7816108,1130
175,0.75,0.3,0.5,0.01,1010521665.02515,3108.085488342552,512468204.76183736,1464
176,0.75,0.3,0.5,0.25,1004756530.918047,3109.2146430951534,512468810.0177002,1448
177,0.75,0.3,0.5,0.5,1055243590.1477424,3119.150188091568,512471752.96096295,1413
178,0.75,0.3,0.5,0.75,999256936.4578272,2537.3431428200406,512484290.88408315,1368
179,0.75,0.3,0.5,1.0,1007765810.9681112,3263.511193592701,512529568.00302535,1310
180,0.75,0.3,0.5,1.25,986903494.0290756,3401.618473578264,512547886.63503253,1257
181,0.75,0.3,0.5,1.5,1022592459.311384,1993.9969060629464,512575243.19428456,1219
182,0.75,0.3,0.6,0.01,1158081230.5520422,4471.3284617559775,512157660.1283593,1561
183,0.75,0.3,0.6,0.25,1143027522.3145366,4384.819713553162,512158096.2138817,1544
184,0.75,0.3,0.6,0.5,1136072121.073537,4509.728107600721,512103766.88613045,1517
185,0.75,0.3,0.6,0.75,1100806574.2623537,4481.277128747247,512116700.30332583,1466
186,0.75,0.3,0.6,1.0,1074118058.6935115,3974.894068285589,512156124.788637,1410
187,0.75,0.3,0.6,1.25,1082556760.195923,4151.103106413547,512182792.0832397,1366
188,0.75,0.3,0.6,1.5,1031067376.0411772,3037.0108008996403,512211209.1064849,1320
189,0.75,0.4,0.4,0.01,721922411.1919243,1850.4550567146232,512898919.3231076,1575
190,0.75,0.4,0.4,0.25,735420755.5425645,2277.2101511373307,512901152.3580346,1559
191,0.75,0.4,0.4,0.5,739575090.6651515,2223.710823305388,512907830.55115604,1524
192,0.75,0.4,0.4,0.75,756420962.7148969,2172.422815700417,512927781.6837206,1472
193,0.75,0.4,0.4,1.0,756630917.1008371,2416.8416436988623,512913999.06923485,1420
194,0.75,0.4,0.4,1.25,754308023.6676689,1872.5216465304516,512961034.4734837,1369
195,0.75,0.4,0.4,1.5,782772699.4455247,2079.815896337583,513021122.6777135,1312
196,0.75,0.4,0.5,0.01,838445726.3432987,3611.538558942005,512544243.5831696,1727
197,0.75,0.4,0.5,0.25,832230546.9278386,3820.451591647157,512456851.6026996,1703
198,0.75,0.4,0.5,0.5,872820837.1718006,4166.5509841103785,512427958.2299544,1665
199,0.75,0.4,0.5,0.75,833414670.0260284,4211.175164915891,512409655.33490884,1606
200,0.75,0.4,0.5,1.0,809003665.8351967,3878.166652445136,512463383.8131467,1542
201,0.75,0.4,0.5,1.25,813820749.6978742,3016.9757773874803,512484220.63666075,1478
202,0.75,0.4,0.5,1.5,777276771.0233847,2837.245062147559,512457508.3198247,1435
203,0.75,0.4,0.6,0.01,1020703247.781807,3938.93195537344,512198762.2588727,1862
204,0.75,0.4,0.6,0.25,1002058799.559203,3589.6999054658104,512199721.2143961,1844
205,0.75,0.4,0.6,0.5,1012609418.1277852,3625.185148104887,512176152.2494467,1794
206,0.75,0.4,0.6,0.75,1046664096.2481886,4254.419415089404,512102236.4028074,1732
207,0.75,0.4,0.6,1.0,1038453123.5934966,5129.286186432294,512116399.27931845,1676
208,0.75,0.4,0.6,1.25,980995428.0850624,5215.602288624489,512114969.17246675,1610
209,0.75,0.4,0.6,1.5,971529423.4583446,3782.669826562828,512146316.6507214,1556
210,0.75,0.5,0.4,0.01,592870091.3314965,2928.3149938992938,513062867.32395715,1805
211,0.75,0.5,0.4,0.25,589359650.9346454,2470.985445802582,513032626.95377576,1782
212,0.75,0.5,0.4,0.5,606128950.4712629,3417.777068384247,513020899.4770902,1742
213,0.75,0.5,0.4,0.75,626995889.6948559,3885.317306183631,512988484.25136745,1661
214,0.75,0.5,0.4,1.0,592530283.9142368,2135.9831640609486,512928050.6522644,1599
215,0.75,0.5,0.4,1.25,599686639.4683944,1806.840208030808,512944368.47235477,1537
216,0.75,0.5,0.4,1.5,605851597.4918957,1954.449543429431,512973334.47940606,1481
217,0.75,0.5,0.5,0.01,723382635.1704793,2792.3033991718403,512579050.2292431,1981
218,0.75,0.5,0.5,0.25,730507666.9541746,2790.4416068665982,512580883.74739647,1950
219,0.75,0.5,0.5,0.5,787899971.4442729,4770.513012975642,512577534.2963557,1898
220,0.75,0.5,0.5,0.75,757962733.8411299,2984.984008407798,512573300.2227194,1825
221,0.75,0.5,0.5,1.0,776211472.4841111,4018.291780069416,512580830.49246633,1756
222,0.75,0.5,0.5,1.25,811803895.3492059,4483.662085388574,512578699.5734534,1702
223,0.75,0.5,0.5,1.5,784602770.3950247,4474.169641743006,512501388.90057147,1631
224,0.75,0.5,0.6,0.01,886965624.203253,3706.413610774802,512255834.047914,2194
225,0.75,0.5,0.6,0.25,865375020.4850247,3713.3236803417863,512225131.32845974,2177
226,0.75,0.5,0.6,0.5,884959883.9767518,3580.273303250571,512205644.9610094,2107
227,0.75,0.5,0.6,0.75,898022272.08034,3862.4628774759954,512252858.4200843,2022
228,0.75,0.5,0.6,1.0,913236750.829196,3518.637735917019,512307004.90731764,1933
229,0.75,0.5,0.6,1.25,953542574.6904616,4258.252975289087,512312790.7568995,1838
230,0.75,0.5,0.6,1.5,1013793790.0132034,4382.461700632359,512295239.5664182,1784
231,0.75,0.6,0.4,0.01,512450873.71132827,2040.750498412444,513120842.25757444,2003
232,0.75,0.6,0.4,0.25,508077859.80518895,2052.330663483764,513124204.6573849,1981
233,0.75,0.6,0.4,0.5,555344034.5272745,2890.00894889394,513130110.99185574,1919
234,0.75,0.6,0.4,0.75,519546260.2553152,2258.166710461677,513153896.1181034,1844
235,0.75,0.6,0.4,1.0,535803674.2890502,2994.3780640509926,513202667.043272,1767
236,0.75,0.6,0.4,1.25,555544212.0661793,2690.147557166737,513199941.2154726,1706
237,0.75,0.6,0.4,1.5,581599135.4408673,1894.1563792464965,513232036.97232693,1633
238,0.75,0.6,0.5,0.01,681451633.3365135,3118.2763320748613,512678997.7500948,2261
239,0.75,0.6,0.5,0.25,647944552.9622724,3130.153138366229,512680825.5429842,2243
240,0.75,0.6,0.5,0.5,646963722.5476491,3161.58061536908,512686923.4228676,2164
241,0.75,0.6,0.5,0.75,684211884.2753389,3106.065131711991,512629986.5628236,2070
242,0.75,0.6,0.5,1.0,684138736.8587664,3163.3964768023884,512693611.8328894,1966
243,0.75,0.6,0.5,1.25,682858512.9937863,3555.323365134863,512738741.3734962,1874
244,0.75,0.6,0.5,1.5,741911330.8030287,3804.709618439883,512771805.21463317,1815
245,0.75,0.6,0.6,0.01,800040132.0319313,3658.423762593197,512394717.6443952,2556
246,0.75,0.6,0.6,0.25,789057728.9119703,3689.626800312796,512366081.71859217,2525
247,0.75,0.6,0.6,0.5,832375389.6912707,3706.656098761227,512346847.6143262,2452
248,0.75,0.6,0.6,0.75,830525997.3935109,3494.683566543821,512333023.80155534,2336
249,0.75,0.6,0.6,1.0,889987568.184788,3780.117926793135,512363703.4787267,2217
250,0.75,0.6,0.6,1.25,875707393.7209194,3825.2750413151134,512368951.5806004,2113
251,0.75,0.6,0.6,1.5,955285522.334856,3894.428347965033,512380258.06329393,2005
252,0.75,0.7,0.4,0.01,459202119.9262263,2776.4576234980777,513252029.7027006,2223
253,0.75,0.7,0.4,0.25,498107825.4697131,2503.684837134222,513229829.87119055,2196
254,0.75,0.7,0.4,0.5,451899366.34775007,2510.1519471974057,513205166.65772426,2122
255,0.75,0.7,0.4,0.75,461685107.6624597,1849.3761878676823,513211537.3211072,2024
256,0.75,0.7,0.4,1.0,488615245.2815496,2157.118341683092,513203837.7235066,1924
257,0.75,0.7,0.4,1.25,539001805.0386492,3175.148752844668,513257498.2647399,1846
258,0.75,0.7,0.4,1.5,543840742.018035,3883.35752598762,513340289.5452142,1787
259,0.75,0.7,0.5,0.01,586034730.85169,3165.3419777957283,512794720.4429161,2571
260,0.75,0.7,0.5,0.25,596571037.253339,3179.1988268134,512796557.02166605,2543
261,0.75,0.7,0.5,0.5,604422567.8675339,2591.0017320525635,512742110.775068,2439
262,0.75,0.7,0.5,0.75,598802158.9145831,2942.0129034408837,512761586.7740909,2317
263,0.75,0.7,0.5,1.0,645502786.0832151,3165.18136507182,512769987.0665283,2209
264,0.75,0.7,0.5,1.25,675526102.6186949,3171.855115712744,512793877.1507322,2098
265,0.75,0.7,0.5,1.5,680749150.4928408,3683.910012783114,512806322.1289121,1984
266,0.75,0.7,0.6,0.01,766710929.1385071,3280.1855782156117,512455410.7416687,2912
267,0.75,0.7,0.6,0.25,731368871.204268,3415.324666856429,512456921.3818368,2881
268,0.75,0.7,0.6,0.5,736217900.7115995,3829.385661234669,512463983.8073038,2803
